 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8000
 * Running on http://192.0.0.2:8000
2025-11-17 10:47:57,720 | INFO     | _log:187 | [33mPress CTRL+C to quit[0m
2025-11-17 10:48:03,007 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 10:48:03] "GET / HTTP/1.1" 200 -
2025-11-17 10:48:03,156 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 10:48:03] "[33mGET /static/images/icon-192.png HTTP/1.1[0m" 404 -
2025-11-17 10:48:03,177 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 10:48:03] "[33mGET /static/images/icon-192.png HTTP/1.1[0m" 404 -
2025-11-17 10:48:04,423 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 10:48:04] "[33mGET /static/images/icon-192.png HTTP/1.1[0m" 404 -
2025-11-17 10:48:04,439 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 10:48:04] "[33mGET /static/images/icon-192.png HTTP/1.1[0m" 404 -
2025-11-17 10:48:04,676 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 10:48:04] "GET /service-worker.js HTTP/1.1" 200 -
2025-11-17 10:48:04,720 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 10:48:04] "[36mGET / HTTP/1.1[0m" 304 -
2025-11-17 10:48:04,725 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 10:48:04] "GET /static/css/style.css HTTP/1.1" 200 -
